year,month,day_of_month,day_of_week,fl_date,origin,origin_city_name,origin_state_nm,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,cancelled,air_time,distance,weather_delay,late_aircraft_delay
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1517.0,23.0,1540.0,1716.0,8.0,0,96.0,650,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,956.0,21.0,1017.0,1151.0,15.0,0,94.0,650,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1935.0,23.0,1958.0,2143.0,9.0,0,165.0,1197,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1300.0,15.0,1315.0,1533.0,9.0,0,138.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1032.0,27.0,1059.0,1412.0,4.0,0,133.0,1139,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1925.0,14.0,1939.0,2208.0,5.0,0,149.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2232.0,14.0,2246.0,6.0,11.0,0,140.0,964,0,15
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,827.0,14.0,841.0,918.0,12.0,0,37.0,192,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,617.0,13.0,630.0,817.0,16.0,0,167.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1842.0,14.0,1856.0,2129.0,12.0,0,153.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1524.0,11.0,1535.0,1750.0,6.0,0,135.0,1013,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,759.0,14.0,813.0,1043.0,8.0,0,330.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1509.0,13.0,1522.0,1805.0,10.0,0,163.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1727.0,27.0,1754.0,2008.0,9.0,0,314.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1941.0,22.0,2003.0,2223.0,6.0,0,320.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2241.0,26.0,2307.0,2352.0,5.0,0,105.0,675,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2042.0,15.0,2057.0,2354.0,11.0,0,357.0,2585,0,15
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1950.0,21.0,2011.0,2235.0,8.0,0,144.0,1020,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1851.0,18.0,1909.0,2208.0,7.0,0,179.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1857.0,15.0,1912.0,2028.0,8.0,0,136.0,964,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,659.0,18.0,717.0,912.0,21.0,0,175.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2003.0,23.0,2026.0,2234.0,14.0,0,308.0,2267,0,3
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2130.0,13.0,2143.0,2241.0,6.0,0,58.0,335,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,925.0,20.0,945.0,1201.0,10.0,0,136.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1243.0,18.0,1301.0,1614.0,10.0,0,133.0,1139,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1904.0,24.0,1928.0,2131.0,6.0,0,123.0,919,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2139.0,23.0,2202.0,38.0,8.0,0,156.0,1145,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1703.0,24.0,1727.0,1950.0,3.0,0,143.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2135.0,19.0,2154.0,2342.0,3.0,0,168.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,924.0,17.0,941.0,1238.0,6.0,0,357.0,2724,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1930.0,14.0,1944.0,2225.0,4.0,0,161.0,1185,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2106.0,24.0,2130.0,2208.0,9.0,0,38.0,192,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1721.0,22.0,1743.0,1935.0,16.0,0,172.0,1121,0,10
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2156.0,17.0,2213.0,23.0,5.0,0,190.0,1393,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1904.0,16.0,1920.0,2105.0,17.0,0,165.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2238.0,18.0,2256.0,2351.0,7.0,0,115.0,806,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2139.0,29.0,2208.0,10.0,3.0,0,182.0,1222,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1633.0,13.0,1646.0,1824.0,7.0,0,98.0,700,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1940.0,30.0,2010.0,2258.0,5.0,0,348.0,2552,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2028.0,18.0,2046.0,2355.0,4.0,0,369.0,2700,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2126.0,31.0,2157.0,2400.0,3.0,0,123.0,919,0,60
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1850.0,20.0,1910.0,2121.0,4.0,0,311.0,2267,0,105
